StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
01,00,189501,7.52,43.1,.78,.78,2.35,.78,5,715,1.25,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,33.4,52.7
01,00,189502,2.66,37.4,-.59,-.59,-1.77,-.59,0,799,-1.36,.07,-99.99,-99.99,-99.99,-99.99,-99.99,26.8,48.1
01,00,189503,7.62,54.5,-.17,-.17,1.08,.46,18,372,.69,-.22,.43,-99.99,-99.99,-99.99,-99.99,42.4,66.5
01,00,189504,3.58,63.4,-.54,-.54,-1.17,-.54,49,114,-.41,.2,-.45,-99.99,-99.99,-99.99,-99.99,51.2,75.7
01,00,189505,3.78,69.5,-.55,-.55,-.18,-.55,156,33,-.11,-.42,.1,-99.99,-99.99,-99.99,-99.99,58.4,80.6
01,00,189506,5.79,77.5,.58,.58,1.73,.58,360,0,.88,.44,.06,.26,-99.99,-99.99,-99.99,66.5,88.4
01,00,189507,4.51,79.2,.42,.42,-.29,.42,420,0,-.38,.35,.14,-.3,-99.99,-99.99,-99.99,68.8,89.6
01,00,189508,5.13,79.5,.78,.78,1.19,.78,437,0,.54,-.02,.47,.27,-99.99,-99.99,-99.99,69.3,89.7
01,00,189509,1.6,77.8,-.78,-.78,-2.35,-.78,366,0,-1.25,-.57,-.74,-.5,-.13,-99.99,-99.99,66.5,89.1
01,00,189510,2.22,59.7,-.8,-.8,-.28,-.8,29,233,-.2,-1.05,-.66,-.42,-.62,-99.99,-99.99,45.2,74.2
01,00,189511,1.76,53.2,-1.41,-1.41,-2.07,-1.41,4,376,-1.24,-.96,-1.46,-.79,-.54,-99.99,-99.99,41.4,65.1
01,00,189512,4.23,44.9,-1.62,-1.62,-1.07,-1.62,1,645,-.33,-1.08,-1.08,-1.35,-1.02,-.59,-99.99,32.7,57.1
01,00,189601,4.33,43.5,-1.65,-1.65,-.6,-1.65,4,692,-.27,-.5,-1.02,-1.23,-.99,-1.05,-99.99,34.1,53
01,00,189602,6.16,47.7,-1.19,-1.19,.87,-.67,3,516,.57,.19,-.15,-1.2,-.78,-.58,-99.99,36.4,59
01,00,189603,5.44,52.5,-1.23,-1.23,-.49,-.9,12,428,-.13,.18,-.05,-.74,-1.06,-.86,-99.99,41.2,63.9
01,00,189604,3.54,68.1,-1.71,-1.71,-1.81,-1.71,119,47,-.43,-.44,-.13,-.77,-1.05,-.89,-99.99,55.6,80.6
01,00,189605,3.24,75.9,-2.15,-2.15,-1.85,-2.15,321,4,-.43,-.65,-.6,-.56,-1.19,-.95,-99.99,63.9,87.9
01,00,189606,5.44,77.4,-1.59,-1.59,1.02,-1.06,355,0,.73,.13,-.19,-.21,-.71,-.97,-99.99,66.9,87.9
01,00,189607,4.99,81.2,-1.7,-1.7,-.84,-1.49,488,0,-.07,.39,.01,-.15,-.68,-.9,-99.99,70.7,91.6
01,00,189608,2.82,82.2,-2.3,-2.3,-2.3,-2.3,522,0,-1.05,-.8,-.21,-.67,-.64,-1.2,-99.99,70.4,94
01,00,189609,1.8,75.9,-2.91,-2.91,-2.54,-2.91,306,4,-1.09,-1.64,-1.38,-1.05,-.8,-1.17,-99.99,62.6,89.2
01,00,189610,2.27,63.2,-2.88,-2.88,-.81,-2.88,61,146,-.17,-.93,-1.4,-1,-.81,-1.21,-99.99,50.6,75.8
01,00,189611,4.42,57.3,-2.63,-2.63,-.13,-2.62,20,274,.48,.14,-.42,-.62,-.89,-.84,-99.99,45.8,68.9
01,00,189612,1.71,46.4,-3.39,-3.39,-3.11,-3.39,2,602,-2.21,-1.01,-1.01,-1.71,-1.45,-1.21,-1.37,35.1,57.7
01,00,189701,3.73,41.8,-3.49,-3.49,-1.35,-3.49,4,751,-.63,-1.82,-1.17,-1.78,-1.55,-1.32,-1.72,31.4,52.1
01,00,189702,6.32,51.1,-2.86,-2.86,.8,-2.48,11,421,.65,.02,-1.05,-1.21,-1.23,-1.34,-1.35,41.2,61.1
