StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
102,0,198001,1.4,14.8,2.85,2.85,1.08,2.85,0,1454,0.7,-0.24,-0.02,0.08,-0.03,0.35,0.56,6.3,23.4
102,0,198002,0.67,14.8,-0.2,2.35,-0.61,2.04,0,1334,-0.89,-0.11,-0.71,-0.61,-0.03,0.23,0.6,5.2,24.3
102,0,198003,1.01,25.6,-0.6,1.7,-1.24,0.81,0,1154,-1.09,-1.39,-0.91,0.01,-0.3,-0.4,0.67,15.3,35.9
102,0,198004,1.67,45.6,-1.25,0.81,-2.14,-0.94,0,579,-1.15,-1.52,-1.71,-1.19,-0.71,-0.64,0.3,33.7,57.6
102,0,198005,2.21,58.5,-2.04,-2.04,-2.75,-2.04,39,235,-1.25,-1.56,-1.77,-1.88,-1.54,-0.91,0.05,44.7,72.3
102,0,198006,4.17,64.3,-1.75,-1.75,0.22,-1.59,77,99,0.11,-0.77,-1.09,-1.3,-0.82,-0.93,0.15,52.1,76.4
102,0,198007,2.92,71.3,-2.01,-2.01,-1.3,-2.01,225,12,-0.63,-0.36,-1.02,-1.59,-1.47,-1.11,-0.27,59,83.6
102,0,198008,6.23,68.5,1.4,1.4,4.21,1.4,180,28,2.45,1.33,1.16,-0.35,-0.57,-0.68,0.2,57.9,79.1
102,0,198009,4.33,58.6,1.95,1.95,2.06,1.95,29,171,0.88,2.04,1.42,0.36,0.04,0.33,0.18,47.5,69.7
102,0,198010,1.82,43.4,2.02,2.02,0.82,2.02,0,636,-0.52,0.33,1.55,0.46,-0.23,-0.25,0.28,33.3,53.4
102,0,198011,0.73,34.2,1.64,1.64,-0.5,1.35,0,885,-1.48,-1.36,-0.28,0.57,-0.46,-0.63,-0.01,25.1,43.3
102,0,198012,1.14,18.1,1.64,1.64,0.5,1.51,0,1359,-0.2,-1.26,-1.26,0.52,-0.29,-0.53,-0.04,9.6,26.6
102,0,198101,0.3,16.2,1,1,-1.43,0.14,0,1472,-3.09,-1.46,-1.77,0.45,-0.28,-0.8,-0.3,5.6,26.9
102,0,198102,1.77,22.5,1.59,1.59,2.08,1.59,0,1136,1.58,-0.11,-0.34,-0.39,0.41,-0.51,-0.19,12.8,32.1
102,0,198103,0.84,34.3,-0.68,0.75,-2.03,-0.38,0,926,-1.41,-0.16,-1.11,-1.63,0.12,-0.57,-0.66,23.1,45.5
102,0,198104,3.52,47.3,-0.24,1.04,1.1,0.45,1,505,1.12,0.08,0.69,-0.79,0.73,-0.05,-0.5,35.7,59
102,0,198105,2.27,54.3,-0.76,-0.76,-1.63,-0.76,17,336,-1.18,-0.17,-0.72,-0.77,-0.78,-0.01,-0.64,41.6,67
102,0,198106,5.18,65.1,0.65,0.65,1.94,0.65,107,69,0.94,-0.09,0.42,-0.12,-0.79,0.31,-0.45,53.9,76.3
102,0,198107,3.63,69.6,0.8,0.8,0.67,0.8,181,19,0.15,0.8,-0.01,0.28,-0.58,0.51,-0.39,58.5,80.6
102,0,198108,4.46,67.4,1.33,1.33,1.84,1.33,137,40,0.91,0.69,1.14,0.31,0.16,-0.05,-0.41,56.8,77.9
102,0,198109,2.83,57.7,1.19,1.19,-0.03,1.09,17,208,-0.34,0.35,0.35,0.49,0.11,-0.45,-0.07,46.4,69
102,0,198110,3.34,44.5,2.02,2.02,2.87,2.02,0,606,1.02,0.34,0.76,0.47,0.67,0,-0.15,34.9,54.1
102,0,198111,1.25,36.7,1.85,1.85,0.12,1.84,0,818,-0.66,0.36,0.02,0.76,0.23,0.13,-0.31,27.6,45.8
102,0,198112,1.12,18.6,1.82,1.82,0.46,1.82,0,1333,-0.24,-0.68,0.22,0.32,0.43,0.11,-0.24,11.1,26.2
102,0,198201,1.89,3.4,2.36,2.36,2.19,2.36,0,1766,1.44,0.83,0.04,0.59,0.41,0.58,-0.15,-7.2,13.9
102,0,198202,0.42,15.1,1.71,1.71,-1.22,1.11,0,1333,-1.77,0.26,-0.08,-0.04,0.68,0.18,-0.22,5.2,25.1
102,0,198203,2.07,27.3,1.88,1.88,1.05,1.69,0,1106,0.61,-0.31,0.56,0.41,0.46,0.56,-0.03,18.4,36.3
102,0,198204,2.27,40,1.79,1.79,0.31,1.66,0,720,-0.29,0.06,-0.46,-0.39,0.32,0.19,0.04,28.5,51.4
102,0,198205,4.51,59.5,2.03,2.03,1.25,2.03,65,186,0.97,0.51,0.66,0.55,0.33,0.96,0.59,48.5,70.4
102,0,198206,2.84,60,1.51,1.51,-0.91,1.03,41,151,-1.1,-0.15,-0.27,-0.07,0.02,0.17,0.3,48.2,71.9
102,0,198207,5.01,70.4,2.35,2.35,2.99,2.35,202,15,1.41,0.17,0.67,0.24,0.19,0.59,0.75,59.1,81.6
102,0,198208,3.36,65.8,2.19,2.19,0.23,2.19,110,60,-0.13,0.86,0.01,0.38,0.31,0.23,0.2,54.6,77.1
102,0,198209,3.46,57.9,2.23,2.23,0.79,2.23,19,194,0.2,0.07,0.76,0.33,0.48,0.51,0.05,47.9,68
102,0,198210,3.47,48.6,2.84,2.84,2.53,2.84,1,462,1.14,0.8,0.6,0.83,0.53,0.52,0.39,38.6,58.6
102,0,198211,3.01,31.2,3.86,3.86,3.93,3.86,0,907,1.39,1.76,1.27,0.94,1.1,1.05,0.83,23.2,39.2
102,0,198212,2.62,25.8,4.65,4.65,3.57,4.65,0,1092,2.2,2.14,2.19,1.81,1.39,1.55,1.14,18.4,33.1
102,0,198301,0.93,19.2,4.17,4.17,0.01,4.12,0,1330,-0.27,1.5,1.81,1.37,1.5,1.16,1.25,11.6,26.8
102,0,198302,0.92,25,3.75,3.75,0,3.64,0,1061,-0.19,-0.48,1.18,1.54,1.25,1.34,1.11,17.7,32.3
102,0,198303,2.38,32.1,3.93,3.93,1.71,3.93,0,957,1.04,0.71,0.39,2.38,1.9,1.45,1.53,24.5,39.7
102,0,198304,2.31,40.2,3.64,3.64,0.34,3.64,0,709,-0.24,0.39,0.26,1.68,1.46,1.6,1.27,30.6,49.8
102,0,198305,4.04,51.4,4.04,4.04,2.33,4.04,10,405,0.56,0.21,0.59,1.06,1.74,1.44,1.82,39.8,63
102,0,198306,3.88,65.3,3.54,3.54,-0.24,3.39,106,68,-0.14,0.22,0.05,0.14,1.66,1.8,1.35,53.6,76.9
102,0,198307,3.2,73.6,2.87,2.87,-0.91,2.31,286,3,-0.31,-0.37,0.01,0.07,1.01,1.13,1.13,62,85.2
102,0,198308,3.62,72.7,2.17,2.17,-1.24,1.09,253,11,0.12,-0.14,-0.27,0.12,0.47,1.21,0.95,60.8,84.6
102,0,198309,4.05,60.2,2.14,2.14,0.6,1.27,36,143,0.67,0.57,0.33,0.2,0.3,1.38,1.23,49,71.4
102,0,198310,3.05,47.3,2.36,2.36,1.31,1.92,1,494,0.75,0.9,0.8,0.52,0.54,1.27,1.26,37.8,56.9
102,0,198311,3.49,34.3,3.2,3.2,3.25,3.2,0,847,1.84,1.8,1.57,1,1.11,1.4,1.67,27.8,40.8
102,0,198312,1.45,6.5,3.25,3.25,1.14,3.25,0,1669,0.42,1.63,1.6,1.12,0.91,1,1.78,-1.7,14.7
102,0,198401,0.63,12.1,2.69,2.69,-0.67,2.36,0,1578,-1.22,-0.44,1.07,1.15,0.88,0.86,1.46,2.9,21.2
102,0,198402,1.07,27.6,2.54,2.54,0.37,2.3,0,991,0.18,-0.73,-0.41,1.25,0.8,0.92,1.7,19.3,35.9
102,0,198403,1.53,24,2.24,2.24,-0.12,1.89,0,1218,-0.21,-0.17,-0.74,1.09,0.84,0.66,1.63,14.9,33.1
102,0,198404,3.48,44.7,2.55,2.55,1.63,2.55,0,592,1.08,0.69,0.65,1.29,1.42,1.11,2.35,34.2,55.2
102,0,198405,3.15,52.9,2.4,2.4,0.33,2.4,13,374,-0.28,0.4,0.23,0.03,1.21,0.83,1.69,41.2,64.6
102,0,198406,5.54,66.5,2.94,2.94,2.36,2.94,135,49,1.23,0.71,1.03,0.58,1.58,1.39,2.42,55.5,77.6
102,0,198407,2.93,68.7,2.48,2.48,-0.46,2.23,159,24,-0.62,0.58,0.28,0.49,1,1.27,1.55,56.7,80.8
102,0,198408,2.5,70.3,1.42,1.42,-2.43,0.11,204,18,-1.01,-1.13,-0.12,0,-0.15,0.88,1.33,58.4,82.3
102,0,198409,3.12,56.3,1.23,1.23,-0.12,-0.11,14,223,-0.08,-0.72,-0.92,0.07,-0.19,0.63,1.31,44.8,67.8
102,0,198410,4.65,49.6,2.3,2.3,3.6,2.29,4,430,2.13,1.29,0.59,0.54,0.71,1.12,1.67,40.2,58.9
102,0,198411,1.7,33.1,2.41,2.41,1.05,2.41,0,889,-0.05,1.67,1.05,0.66,0.64,0.51,1.31,24,42.2
102,0,198412,2.12,20.3,3.01,3.01,2.54,3.01,0,1233,1.51,0.72,1.86,0.47,0.94,0.71,1.21,11.4,29.3
102,0,198501,0.92,11,2.69,2.69,-0.01,2.63,0,1586,-0.3,0.87,0.43,0.64,0.62,0.77,1.18,1.4,20.6
102,0,198502,1.27,15.1,2.7,2.7,0.86,2.7,0,1317,0.62,0.08,0.98,1.27,0.91,0.84,1.31,5.4,24.8
102,0,198503,2.53,34.5,2.95,2.95,1.58,2.95,0,902,1.24,1.32,0.94,2.3,0.72,1.16,1.39,24.8,44.1
102,0,198504,2.69,48.5,2.38,2.38,-0.82,1.98,2,450,0.23,0.89,0.98,0.99,1.06,0.98,1.63,36.9,60
102,0,198505,3.49,59.2,1.95,1.95,-0.56,1.27,51,209,0.05,0.1,0.57,0.96,1.46,1.12,1.41,46.6,71.7
102,0,198506,3.15,61.7,1.49,1.49,-0.76,0.47,56,125,-0.8,-0.61,-0.42,-0.04,1.19,0.31,1.16,49.7,73.7
102,0,198507,3.1,68.6,1.25,1.25,-0.25,0.13,173,23,-0.42,-0.98,-0.76,-0.14,0.03,0.34,1.06,56.2,81.1
102,0,198508,4.56,64.6,1.86,1.86,2.21,1.51,98,69,1,0.41,-0.21,0.16,0.44,1.02,1.23,54,75.2
102,0,198509,5.06,58.4,2.72,2.72,3.14,2.72,33,161,1.39,1.59,1.13,0.54,0.82,1.62,1.46,48.8,68.1
102,0,198510,2.82,46.8,3.18,3.18,2.22,3.18,1,505,0.53,1.35,1.57,0.65,0.94,1.08,1.54,36.4,57.3
102,0,198511,3.11,26.2,4.22,4.22,4.11,4.22,0,1000,1.49,1.37,1.74,1.21,1.27,1.51,1.38,18.8,33.6
102,0,198512,1.4,9.2,4.13,4.13,1.04,4.13,0,1596,0.32,1.3,1.22,1.52,1,1.26,1.38,-0.1,18.5
102,0,198601,0.68,17,3.52,3.52,-0.56,3.24,0,1418,-1.02,-0.44,0.78,1.67,0.87,1.13,1.37,7.8,26.3
102,0,198602,1.22,16,3.4,3.4,0.74,3.35,0,1292,0.52,-0.39,-0.24,1.49,1.05,1.13,1.47,7.5,24.6
102,0,198603,1.65,33.3,3.02,3.02,-0.08,2.88,0,931,-0.02,0.18,-0.38,0.88,1.37,0.85,1.55,22.8,43.7
102,0,198604,3.68,47.6,3.16,3.16,1.35,3.16,1,490,1.27,1,1.03,1.36,2.19,1.27,1.79,36.3,58.9
102,0,198605,3.16,57.6,2.57,2.57,-0.78,2.2,35,248,-0.27,0.55,0.44,0.29,1.58,1.17,1.73,45.9,69.4
102,0,198606,4.49,65.4,2.56,2.56,0.75,2.42,99,78,0.38,0.04,0.61,0.34,1.05,1.63,1.34,53.5,77.3
102,0,198607,4.88,71,3.19,3.19,2.7,3.19,224,10,1.3,1.15,0.76,1.11,1.47,2.31,1.64,60.5,81.5
102,0,198608,3.59,64.1,3.22,3.22,1.06,3.22,84,80,0.09,0.92,0.97,0.97,0.82,1.93,1.78,52.8,75.4
102,0,198609,7.19,59,5.15,5.15,6.79,5.15,35,158,2.71,2.14,2.19,2.25,2.19,2.38,2.54,49.5,68.4
102,0,198610,2.47,47.3,5.18,5.18,1.67,5.18,1,496,0.18,2.34,1.92,2.05,2.18,2.44,2.4,37.3,57.4
102,0,198611,1.25,28.2,4.89,4.89,0.73,4.89,0,1013,-0.66,-0.34,1.71,2.05,1.92,1.79,2.23,19.4,37
102,0,198612,0.66,23.2,-0.17,4.22,-0.5,3.98,0,1219,-1.4,-1.21,-0.72,1.52,1.67,1.55,1.96,15.9,30.5
102,0,198701,0.66,20.2,-0.35,3.58,-0.61,3.06,0,1331,-1.1,-1.67,-1.41,0.96,1.2,1.46,1.87,11.8,28.6
102,0,198702,0.31,28.3,-0.81,2.72,-1.49,1.59,0,1011,-2.25,-2.15,-2.1,0.72,1.2,1.18,1.74,18.2,38.4
102,0,198703,1.67,35.4,-0.88,2.28,-0.46,0.98,0,872,0.01,-0.98,-1.41,-1.39,1.05,1.19,1.58,25.2,45.6
102,0,198704,1.38,49.5,-2,0.84,-3.63,-1.7,2,467,-1.63,-1.17,-1.7,-1.97,0.13,0.5,1.3,35.8,63.3
102,0,198705,3.37,60.1,-2.31,-2.31,-1.54,-2.31,63,191,-0.06,-0.91,-0.85,-1.73,0.04,0.6,1.25,47.3,72.9
102,0,198706,2.28,68.8,-3.38,-3.38,-3.93,-3.38,174,29,-1.65,-1.25,-1.64,-1.88,-2,-0.12,0.99,56,81.6
102,0,198707,4.92,72.6,-2.64,-2.64,1.16,-2.12,273,5,1.34,-0.28,-0.29,-1.09,-1.58,-0.12,1.32,61.4,83.8
102,0,198708,4.85,66.8,-1.72,-1.72,1.95,-0.38,139,42,1.27,1.7,0.47,-0.26,-0.9,0.26,1.34,56.1,77.5
102,0,198709,2.81,59.9,-1.91,-1.91,-1.1,-0.99,31,148,-0.35,0.56,1.07,-0.34,-0.79,-1.05,0.95,48.5,71.3
102,0,198710,1.52,42.7,-2.03,-2.03,-0.95,-1.44,0,656,-0.87,-0.84,0.05,-0.25,-0.83,-1.33,0.72,32.1,53.4
102,0,198711,2.23,36.8,-2.05,-2.05,-0.69,-1.65,0,783,0.58,-0.32,-0.46,-0.05,-0.48,-1.01,0.48,28.5,45.1
102,0,198712,1.81,25.1,-1.62,-1.62,0.68,-0.92,0,1155,1.04,0.91,0.12,0.87,-0.31,-0.67,0.56,18.9,31.3
102,0,198801,1.16,11.1,-1.27,-1.27,0.53,-0.37,0,1550,0.25,0.78,0.79,0.38,0.07,-0.5,0.64,1.2,21.1
102,0,198802,0.53,13.3,-1.46,-1.46,-0.95,-0.86,0,1355,-1.36,-0.75,0,-0.4,-0.06,-0.45,0.5,2.4,24.2
102,0,198803,1.43,31.2,-1.42,-1.42,-0.33,-0.87,0,989,-0.37,-1.01,-0.87,-0.42,0.55,-0.52,0.44,20.8,41.5
102,0,198804,1.73,44.4,-1.86,-1.86,-1.75,-1.84,0,584,-1.05,-1.06,-1.4,-0.46,-0.3,-0.45,-0.04,31.3,57.5
102,0,198805,1.63,60.9,-3.13,-3.13,-4.41,-3.13,61,192,-1.91,-1.95,-1.83,-1.6,-1.43,-0.96,-0.32,46.4,75.4
102,0,198806,1.55,69.7,-4.73,-4.73,-5.76,-4.73,171,31,-2.42,-2.86,-2.82,-2.51,-2.15,-1.16,-0.86,55.1,84.2
102,0,198807,2.51,72.9,-5.59,-5.59,-4.04,-5.59,284,4,-1.14,-2.79,-3.09,-2.82,-2.19,-1.77,-1.25,59.4,86.5
102,0,198808,4.64,71.2,-5.04,-5.04,-0.08,-5.02,245,13,1.08,0.08,-1.38,-1.98,-1.84,-1.82,-1.06,59.4,83
102,0,198809,3.9,59.9,-4.64,-4.64,-0.34,-4.64,33,152,0.55,1.04,0.41,-1.72,-1.9,-1.71,-1.86,48.2,71.5
102,0,198810,1.76,42.4,-4.5,-4.5,-1.03,-4.5,0,670,-0.59,0.02,0.6,-1.58,-1.87,-1.57,-2.09,31.6,53.3
102,0,198811,3.18,33.7,-3.87,-3.87,0.52,-3.61,0,854,1.55,0.63,0.75,-0.46,-1.27,-1.25,-1.55,26.2,41.3
102,0,198812,1.15,20,-3.71,-3.71,-0.73,-3.67,0,1297,-0.18,1.15,0.47,0.51,-1.2,-1.38,-1.36,10.7,29.3
102,0,198901,1.04,21.7,-3.35,-3.35,-0.06,-3.28,0,1225,-0.01,-0.28,0.92,0.9,-1.04,-1.36,-1.25,12,31.3
102,0,198902,0.56,10.2,-3.3,-3.3,-0.88,-3.3,0,1413,-1.25,-0.91,-0.87,0.3,-0.7,-1.37,-1.23,-0.5,20.9
102,0,198903,1.62,26.1,-2.93,-2.93,0.08,-2.84,0,1109,-0.07,-0.72,-0.75,-0.05,0.23,-1.34,-1.24,16.1,36.1
102,0,198904,1.73,42.6,-3.07,-3.07,-1.34,-3.07,0,646,-1.05,-0.88,-1.2,-0.24,0.29,-1.37,-1.18,31.2,54
102,0,198905,3.29,55.5,-2.77,-2.77,-0.03,-2.72,21,310,-0.14,-0.72,-0.71,-1.01,-0.23,-0.95,-1.22,42.6,68.3
102,0,198906,3.4,63.9,-2.74,-2.74,-0.77,-2.74,89,83,-0.57,-0.57,-0.9,-1.09,-0.73,-0.4,-1.02,52.2,75.7
102,0,198907,2.61,71.7,-3.02,-3.02,-1.69,-3.02,223,10,-1.01,-1.16,-1.02,-1.37,-0.87,-0.38,-1.41,59.7,83.7
102,0,198908,3.8,67.8,-2.73,-2.73,-0.07,-2.7,140,39,0.3,-0.43,-0.76,-1,-1.19,-0.63,-1.66,56.2,79.5
102,0,198909,2.9,58.1,-2.73,-2.73,-0.84,-2.73,16,197,-0.27,-0.01,-0.47,-1.04,-1.25,-0.91,-1.77,45.9,70.2
102,0,198910,1.72,48.3,-2.98,-2.98,-1.58,-2.98,1,478,-0.64,-0.65,-0.36,-0.98,-1.28,-0.93,-1.79,35.7,60.8
