StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
9,0,198001,4.83,47.1,1.72,1.72,0.59,1.32,7,643,0.41,-0.39,0.03,0.24,0.26,0.69,-0.34,37.6,56.5
9,0,198002,2.36,44,0.93,0.93,-1.84,-0.29,0,672,-1.2,-0.62,-1.02,-0.05,-0.28,0.1,-0.33,31.9,56.2
9,0,198003,11.54,53.7,2.83,2.83,5.99,2.83,8,455,2.59,1.46,1.41,0.55,1,1.22,0.48,42.2,65.1
9,0,198004,4.11,62.2,2.62,2.62,0.24,2.62,23,176,0.29,2.13,1.21,0.86,0.87,0.86,0.56,49.5,74.8
9,0,198005,4.66,70.5,2.69,2.69,1.02,2.69,145,40,0.72,0.56,2,0.83,1.09,0.83,0.5,59,81.9
9,0,198006,3.54,77.3,-0.2,2.22,-0.59,1.91,316,0,-0.57,0.1,0.15,1.02,0.49,0.91,0.53,65.4,89
9,0,198007,2.54,82.3,-1.38,0.78,-3.62,-1.09,502,0,-3.09,-1.96,-0.96,0.36,0.28,0.35,0.31,70.3,94.2
9,0,198008,2.55,81.4,-2.55,-2.55,-3.94,-2.55,473,0,-1.74,-3.09,-3.09,0.34,-0.24,0.16,0.02,68.9,93.8
9,0,198009,4.73,77.7,-2.41,-2.41,-0.36,-2.41,328,0,0.59,-0.65,-1.92,-0.91,0.14,-0.17,0.34,66.2,89.3
9,0,198010,3.13,61.7,-2.09,-2.09,0.23,-1.92,29,205,0.33,0.53,-0.36,-1.01,0.11,0.09,0.6,49.9,73.5
9,0,198011,1.98,52.8,-2.25,-2.25,-1.15,-2.25,3,435,-0.43,-0.07,0.2,-1.8,0.36,-0.19,0.47,40.5,65
9,0,198012,1.1,45.7,-3.07,-3.07,-3.14,-3.07,1,661,-2.26,-1.74,-1.1,-2.39,-1.43,-0.36,0.41,32.9,58.5
9,0,198101,1.13,40.2,-3.9,-3.9,-3.44,-3.9,1,833,-2.05,-2.73,-2.34,-2.13,-2.17,-0.92,-0.17,27.2,53.2
9,0,198102,5.73,48.4,-3.31,-3.31,0.57,-3.03,2,548,0.69,-0.75,-1.45,-0.94,-2.38,-0.41,-0.3,35.9,60.9
9,0,198103,4.15,52.7,-3.17,-3.17,-0.62,-3.08,6,464,-0.32,0.17,-0.77,-1.2,-1.96,-1.53,-0.12,39.1,66.2
9,0,198104,2.76,66.7,-3.43,-3.43,-1.76,-3.43,75,72,-0.48,-0.61,-0.13,-1.44,-1.47,-1.74,-0.58,53.1,80.2
