StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
41,0,198001,1.67,46.9,-0.67,2.13,-0.17,0.96,16,487,0.31,0.43,-0.21,-0.39,0.23,0.63,0.32,35.6,58.3
41,0,198002,1.04,48,-0.91,1.6,-0.93,0.13,6,439,-0.59,-0.18,0.07,-0.76,0,0.5,0.25,34.9,61
41,0,198003,1.51,55.2,-0.82,1.44,0.01,0.01,39,275,-0.16,-0.53,-0.27,-0.71,-0.21,0.2,0.35,41.3,69
41,0,198004,1.41,62.5,-0.97,1.05,-0.71,-0.53,70,97,-0.71,-0.56,-0.79,-0.63,-0.72,-0.12,0.42,47.9,77.1
41,0,198005,4.53,72.2,-0.44,1.38,1.3,0.22,281,7,0.94,0.29,0.19,0.11,-0.53,0.03,0.64,60.5,83.8
41,0,198006,1.28,83,-1.21,-1.21,-2.44,-1.21,546,0,-1.34,-0.1,-0.46,-0.47,-0.79,-0.38,0.43,70.4,95.7
41,0,198007,0.65,86.1,-2.39,-2.39,-3.91,-2.39,669,0,-2.01,-2.09,-0.94,-1.14,-0.93,-0.94,0.34,72.4,99.8
41,0,198008,2.4,83,-2.36,-2.36,-0.67,-2.36,598,0,0.27,-1.08,-1.58,-0.96,-0.72,-1.02,0.26,70.9,95.1
41,0,198009,5.51,77.7,-1.23,-1.23,2.67,0,450,1,1.7,1.37,0.41,-0.08,-0.17,-0.51,0.37,66.6,88.7
41,0,198010,1.18,63.8,-1.49,-1.49,-1.16,-0.75,100,79,-0.9,0.62,0.54,-0.23,-0.53,-0.52,0.33,50.4,77.1
41,0,198011,2.07,52.1,-1.16,-1.16,0.52,-0.18,13,321,0.37,-0.47,0.62,-0.53,-0.34,-0.3,0.15,39.8,64.4
41,0,198012,1.11,49.3,-1.45,-1.45,-1.22,-0.92,8,424,-0.56,-0.15,-0.66,-0.25,-0.45,-0.49,0.14,37.2,61.4
41,0,198101,1.18,45.9,-1.64,-1.64,-1.03,-1.42,8,540,-0.27,-0.68,-0.35,0.2,-0.39,-0.63,-0.01,34.1,57.7
41,0,198102,1.1,49.8,-1.91,-1.91,-1.3,-1.91,9,384,-0.51,-0.54,-0.78,0.03,-0.8,-0.61,-0.09,37.2,62.4
41,0,198103,2.22,55.4,0.33,-1.38,0.98,-0.85,38,262,0.64,0.07,-0.12,-0.57,-0.29,-0.49,-0.18,44.1,66.8
41,0,198104,2.65,68,0.27,-1.27,-0.07,-0.71,185,26,0.48,0.65,0.33,-0.09,0.25,-0.25,-0.23,56.7,79.3
41,0,198105,4.33,70.9,0.66,-0.71,1.27,0.45,233,10,0.82,0.79,0.88,0.21,0.44,-0.27,-0.14,59.1,82.7
41,0,198106,5.26,79.3,1.52,1.52,2.78,1.52,453,0,1.62,1.57,1.44,1,0.36,0.53,0.12,68.4,90.2
41,0,198107,2.39,82.5,1.63,1.63,0.78,1.63,566,0,0.1,1.26,1.4,1.09,0.7,0.81,-0.06,71.1,93.9
41,0,198108,3.22,80.4,2.05,2.05,1.76,2.05,531,0,0.91,0.61,1.53,1.46,0.89,0.92,-0.03,68.6,92.1
41,0,198109,2.33,75,1.56,1.56,-0.83,1.11,343,1,-0.35,0.25,0.14,1.16,0.89,0.36,-0.13,62.8,87.1
41,0,198110,5.86,66.2,2.76,2.76,4.09,2.76,158,51,1.75,1.19,1.35,1.91,1.58,1.21,0.52,55.5,76.8
41,0,198111,1.16,57.5,-0.2,2.28,-0.59,1.97,52,198,-0.5,1.2,0.82,1.49,1.5,1.1,0.54,43.8,71.3
41,0,198112,0.48,48.8,-0.66,1.56,-1.46,0.59,9,445,-1.67,-1.26,0.59,0.5,1.16,0.97,0.28,35.5,62
41,0,198201,0.99,46.1,-0.88,1.11,-0.85,-0.21,12,521,-0.53,-1.41,-1.29,0.37,1.05,0.97,0.21,32,60.2
41,0,198202,1.69,46.4,-0.7,1.09,0.28,-0.09,6,466,0.23,-0.21,-0.93,0.14,0.87,1.07,0.32,34.4,58.5
41,0,198203,1.1,58.9,-1,0.6,-1.14,-0.95,72,187,-0.68,-0.34,-0.52,0.13,0.16,0.87,0.27,46.9,70.9
41,0,198204,2,64,-0.97,-0.97,-0.2,-0.97,92,79,-0.06,-0.42,-0.28,-1.01,0.11,0.77,0.37,52,76
41,0,198205,5.38,71.5,0.91,0.91,2.73,0.91,261,7,1.43,0.97,0.61,-0.08,0.36,0.95,0.51,60.6,82.4
41,0,198206,3.69,78.2,1.39,1.39,1.73,1.39,438,0,0.69,1.37,1.05,0.53,0.62,0.64,0.85,66.6,89.9
41,0,198207,1.73,82.7,1.35,1.35,0.3,1.35,578,0,-0.56,0.13,0.95,0.48,-0.18,0.51,0.99,70.9,94.5
41,0,198208,1.24,83.2,-0.64,0.57,-1.93,-0.61,596,0,-1.02,-1.14,-0.44,0.15,-0.28,0.14,0.82,70.8,95.7
41,0,198209,1.25,77,-1.47,-1.47,-2.67,-1.47,396,0,-1.32,-1.62,-1.53,-0.22,-0.4,-0.07,0.23,63.7,90.2
41,0,198210,1.84,65.6,-1.58,-1.58,-0.78,-1.58,137,56,-0.32,-1.16,-1.42,-0.35,-0.43,-0.84,0.29,52.6,78.5
41,0,198211,3.05,54.7,0.57,-0.84,1.71,0.11,32,252,1.08,0.36,-0.41,-0.61,-0.17,-0.48,0.41,43.6,65.8
41,0,198212,2.72,47.5,1.06,1.06,1.65,1.06,10,434,1.04,1.27,0.63,-0.58,0.16,-0.03,0.57,36.6,58.4
41,0,198301,1.51,44,1.11,1.11,0.47,1.11,7,576,0.13,0.75,1.09,-0.35,0.2,0.05,0.64,32.8,55.3
41,0,198302,2.3,48.5,1.51,1.51,1.56,1.51,9,411,0.92,0.61,0.96,0.18,-0.1,0.18,0.83,37,59.9
41,0,198303,2.32,55.1,1.87,1.87,1.55,1.87,31,289,0.74,1.02,0.75,0.79,-0.15,0.39,0.86,42.8,67.4
41,0,198304,0.57,60.7,1.28,1.28,-1.2,0.63,53,129,-2.49,-0.58,-0.06,0.56,-0.38,0.1,0.61,47.2,74.1
41,0,198305,3.62,70.7,1.49,1.49,1.03,1.27,223,12,0.35,-0.73,-0.24,0.35,-0.04,-0.23,0.53,57.8,83.7
41,0,198306,2.84,76.7,1.73,1.73,1.18,1.73,378,0,0.09,0.23,-0.54,0.06,0.29,-0.38,0.21,64.7,88.7
41,0,198307,1.98,82,1.74,1.74,0.56,1.74,530,0,-0.3,-0.21,-0.02,-0.08,0.41,-0.28,0.16,70.3,93.7
41,0,198308,2.14,82.8,-0.1,1.46,-0.29,1.25,568,0,0.03,-0.33,-0.29,-0.37,0.12,-0.13,0,70.5,95.1
41,0,198309,2.06,76.7,-0.6,0.8,-1.53,-0.23,360,0,-0.58,-0.49,-0.64,-0.85,-0.33,-0.01,-0.08,64,89.3
41,0,198310,3.4,67.5,-0.24,1.01,0.88,0.39,162,39,0.66,0.09,-0.02,-0.09,-0.13,0.3,-0.47,55.6,79.3
41,0,198311,1.92,57.5,-0.28,0.84,-0.2,0.1,52,195,0.25,0.54,0.1,-0.17,-0.26,0.1,-0.38,45.1,69.9
41,0,198312,1.09,38.4,-0.42,0.59,-0.49,-0.36,0,745,-0.59,-0.26,0.19,-0.35,-0.57,-0.21,-0.22,26.9,49.8
41,0,198401,1.49,41.7,-0.41,-0.41,-0.12,-0.41,4,662,0.11,-0.45,-0.28,-0.2,-0.24,-0.25,-0.16,30.4,53
41,0,198402,1.26,50.4,-0.66,-0.66,-0.87,-0.66,14,356,-0.3,-0.15,-0.49,-0.25,-0.38,-0.45,-0.21,35.7,65.1
41,0,198403,1.53,57,-0.68,-0.68,-0.25,-0.68,55,229,-0.13,-0.34,-0.24,-0.04,-0.43,-0.64,-0.15,43.6,70.4
41,0,198404,0.59,64.5,-1.34,-1.34,-2.21,-1.34,116,68,-2.41,-1.34,-1.2,-0.86,-0.71,-0.65,-0.35,49.8,79.1
41,0,198405,2.2,73.9,-2.02,-2.02,-2.45,-2.02,304,1,-0.81,-1.82,-1.57,-1.31,-0.87,-0.92,-0.82,60.6,87.2
41,0,198406,2.47,79.9,-2.37,-2.37,-1.66,-2.37,466,0,-0.21,-0.74,-1.45,-1.14,-0.72,-0.96,-1.03,68.4,91.5
41,0,198407,1.67,81.8,-2.76,-2.76,-1.9,-2.76,551,0,-0.63,-0.61,-0.99,-1.41,-1.14,-0.95,-1.02,69.2,94.3
41,0,198408,1.99,81.7,-2.82,-2.82,-1.04,-2.82,553,0,-0.11,-0.65,-0.69,-1.46,-1.33,-0.95,-0.88,69.3,94
41,0,198409,2.04,73.7,-2.9,-2.9,-1.1,-2.9,316,4,-0.59,-0.59,-0.86,-1.57,-1.4,-0.97,-0.82,61.5,85.9
41,0,198410,5.95,65.6,1.41,-1.19,4.22,0.61,174,53,1.78,1.12,0.86,-0.01,-0.49,-0.51,-0.23,55.7,75.4
41,0,198411,2.08,54.5,1.67,-0.66,1.22,1.54,29,262,0.38,1.55,1.06,0.36,-0.34,-0.5,-0.39,42.9,66.1
41,0,198412,2.91,52.8,2.2,2.2,2.12,2.2,44,290,1.18,0.88,1.69,0.85,-0.05,-0.13,-0.28,42.6,63
41,0,198501,1.49,40.3,2.44,2.44,1.4,2.44,3,704,0.11,0.86,0.71,1.04,0.29,-0.16,-0.29,28.6,52
41,0,198502,1.98,45.7,2.75,2.75,1.69,2.75,4,493,0.57,0.38,0.89,1.24,0.68,0,-0.32,34.7,56.7
41,0,198503,2.61,59.5,2.92,2.92,1.34,2.92,81,173,1.03,1,0.72,1.62,1.02,0.18,-0.29,48.7,70.3
41,0,198504,2.36,66.7,2.75,2.75,0.41,2.75,139,41,0.25,0.7,0.77,0.85,1.17,0.55,-0.05,54.2,79.1
41,0,198505,2.68,73.6,2.27,2.27,-0.6,1.96,301,3,-0.37,-0.2,0.28,0.63,1.02,0.64,-0.16,61.2,86
41,0,198506,3.62,78.3,2.56,2.56,1.56,2.56,437,0,0.64,0.15,0.16,0.5,1.29,0.84,-0.04,66.5,90
41,0,198507,2.15,81,2.55,2.55,0.76,2.55,522,0,-0.13,0.32,-0.02,0.42,0.61,0.88,-0.01,68.7,93.3
41,0,198508,1.04,83.4,1.6,1.6,-2.05,0.66,606,0,-1.34,-0.98,-0.36,-0.06,0.31,0.7,-0.17,70.2,96.6
41,0,198509,3.99,76,1.79,1.79,1.05,1.25,389,1,0.82,-0.02,-0.19,-0.06,0.28,1.03,0.07,64.1,87.9
41,0,198510,4.55,66.4,2.41,2.41,2.42,2.41,168,45,1.21,1.32,0.72,0.47,0.7,0.82,0.2,56.2,76.5
41,0,198511,2.43,57.6,2.5,2.5,1,2.5,69,188,0.65,1.19,1.35,0.81,0.73,0.92,0.25,46.3,68.9
41,0,198512,0.99,44.1,-0.12,2.12,-0.37,1.89,3,570,-0.73,0,0.76,0.41,0.36,0.57,0.22,30.7,57.5
41,0,198601,0.48,48.9,-0.68,1.33,-1.7,0.32,17,448,-1.35,-1.41,-0.59,0.21,0.08,0.37,0.11,34.3,63.4
41,0,198602,1.59,53.2,-0.82,0.99,-0.63,-0.29,27,288,0.11,-0.72,-0.99,0.57,0.27,0.31,0.17,40.2,66.2
