StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
105,0,198001,1.17,14.6,-0.98,-0.98,0.47,-0.61,0,1488,1.06,0.04,-0.33,-0.85,-1.06,-0.87,-0.05,4.1,25.1
105,0,198002,0.78,21.7,-1,-1,-0.35,-0.75,0,1221,0.01,0.76,-0.02,-1.04,-0.86,-0.92,-0.13,11.5,31.8
105,0,198003,1.29,28.1,-0.91,-0.91,-0.04,-0.6,0,1099,0.43,0.34,0.86,-0.07,-0.44,-0.96,0.08,17.2,39.1
105,0,198004,0.92,46,-1.85,-1.85,-3.12,-1.85,1,531,-1.53,-1.15,-1.14,-1.12,-1.39,-1.39,-0.32,31.8,60.2
105,0,198005,2.46,55.3,-2.13,-2.13,-1.4,-2.13,40,285,-0.13,-0.97,-0.79,-0.79,-1.46,-1.23,-0.86,41.5,69.1
105,0,198006,2.44,63.4,-2.57,-2.57,-1.98,-2.57,141,113,-0.54,-0.54,-1.07,-0.75,-0.96,-1.07,-0.76,49.4,77.3
105,0,198007,1.25,70.4,-3.45,-3.45,-3.44,-3.45,279,36,-1.28,-1.14,-0.98,-1.31,-1.34,-1.5,-1.17,55,85.8
105,0,198008,2.7,64.7,-2.56,-2.56,1.59,-1.87,176,85,1.63,0.25,-0.22,-0.68,-0.69,-1.08,-0.91,51,78.4
105,0,198009,1.19,57.6,-2.74,-2.74,-1.33,-2.52,58,204,-0.47,0.72,-0.07,-0.87,-0.66,-0.84,-1.18,43.4,71.9
105,0,198010,1.67,44.9,-2.02,-2.02,1.33,-1.23,0,574,0.75,0.1,0.9,-0.23,-0.58,-0.71,-0.9,31.8,58
105,0,198011,0.6,34.6,-2.34,-2.34,-1.59,-2.1,0,858,-0.88,0.1,-0.28,-0.41,-0.71,-0.74,-1.05,23.5,45.6
105,0,198012,0.81,24.8,-2.31,-2.31,-0.64,-2.26,0,1220,-0.08,-0.74,0.03,-0.14,-0.79,-0.61,-1.12,14.3,35.2
105,0,198101,0.35,26.1,-2.85,-2.85,-2.32,-2.85,1,1211,-2.38,-1.35,-1.57,0.11,-0.64,-0.95,-1.25,14.7,37.5
105,0,198102,0.6,25.8,-3.1,-3.1,-1.63,-3.1,0,1060,-0.89,-2.1,-1.66,-0.93,-0.8,-1.01,-1.31,14.3,37.4
105,0,198103,1.22,36.3,-3.7,-3.7,-2.75,-3.7,0,847,0.23,-0.31,-1.45,-0.76,-0.54,-1.05,-1.33,22.9,49.7
105,0,198104,1.01,47.4,-4.86,-4.86,-4.63,-4.86,11,447,-1.35,-1.12,-1.39,-2.09,-0.57,-1.06,-1.57,33.7,61.2
105,0,198105,3.68,52.1,-3.85,-3.85,1.51,-3.23,19,362,1.12,0.3,0.32,-0.35,-0.4,-0.55,-1.05,40.6,63.6
105,0,198106,2.58,61.2,-3.88,-3.88,-1.26,-3.68,129,138,-0.37,0.53,-0.02,-0.51,-0.47,-0.48,-0.97,48.2,74.2
105,0,198107,2.77,68.9,-3.45,-3.45,0.1,-3.15,221,44,1.09,0.36,0.91,0.28,-0.26,0.24,-0.82,54.8,82.9
105,0,198108,1.84,67.6,-3.32,-3.32,-0.69,-3.22,154,48,0.26,0.95,0.39,0.43,0,-0.15,-0.81,53.1,82.2
105,0,198109,1.01,58.9,-3.63,-3.63,-1.96,-3.63,52,193,-0.8,-0.42,0.35,0.14,-0.21,-0.21,-0.75,43.4,74.3
105,0,198110,1.46,43.8,0.33,-2.93,0.98,-2.48,0,599,0.42,-0.33,-0.18,0.58,0.12,-0.34,-0.77,32.2,55.4
105,0,198111,1.01,36.2,0.05,-2.87,-0.72,-2.65,0,822,0.2,0.39,-0.26,0.08,0.22,-0.15,-0.66,24.7,47.7
105,0,198112,1.01,21.2,0.08,-2.54,0.1,-2.22,0,1340,0.53,0.4,0.53,0.46,0.25,-0.05,-0.46,12,30.3
105,0,198201,1.28,8.1,0.39,-1.96,0.95,-1.23,0,1727,1.35,1.22,0.95,0.33,0.8,0.38,-0.38,-3.2,19.4
105,0,198202,0.72,19,0.24,-1.87,-0.33,-1.23,0,1251,-0.27,0.87,0.97,0.21,0.37,0.42,-0.39,7.6,30.4
105,0,198203,1.65,29.6,0.63,-1.26,1.25,-0.13,0,1043,1.39,1.05,1.57,1.31,0.96,0.6,-0.29,19.4,39.8
105,0,198204,1.32,39,0.61,-1.09,0.12,0.06,0,706,-0.77,0.08,-0.05,0.64,0.28,0.77,-0.18,26.4,51.7
105,0,198205,4.15,51.4,1.98,1.98,4.32,1.98,32,350,1.54,0.96,1.3,1.59,1.03,1.05,0.28,40,62.8
105,0,198206,2.87,58.9,2.12,2.12,1.02,2.12,57,183,-0.03,1.09,0.68,1.14,1.22,1.14,0.39,46.5,71.3
105,0,198207,2.36,68,2.86,2.86,2.89,2.86,220,51,0.6,0.26,1.12,0.98,1.24,0.9,0.7,54.4,81.7
105,0,198208,1.76,67.8,3.06,3.06,1.48,3.06,167,49,0.12,0.44,0.24,0.96,1.18,0.83,0.4,53.6,81.9
